GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",5939,337,103,55,0,17,0,17,21,24,0,17,21,26,23,26,42,32,148,52,83,50,194,85,467,112,637,114,1154,221,1028,196,608,151,577,149,66,44,531,129,106,64,87,61,35,29,0,17,8,14
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",3076,350,30,34,0,12,0,12,0,12,0,12,28,32,0,12,76,49,62,57,22,33,49,45,53,54,142,98,62,41,155,95,735,168,225,129,54,40,578,132,289,155,405,150,111,95,0,12,0,12
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",3587,332,31,40,0,17,0,17,11,16,0,17,41,36,0,17,0,17,15,21,8,13,38,43,75,58,180,93,112,65,89,63,789,161,129,82,68,48,706,179,434,124,599,144,262,109,0,17,0,17
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",3385,295,127,88,0,17,0,17,0,17,15,22,9,14,50,43,112,99,63,70,49,49,114,73,184,100,139,80,119,72,83,59,814,216,153,82,129,80,665,150,156,100,283,123,88,73,33,37,0,17
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",1559,221,20,24,0,12,0,12,0,12,0,12,0,12,17,21,5,8,101,81,12,17,32,35,104,72,28,26,99,99,41,37,339,117,75,42,46,31,302,100,61,39,179,56,74,42,19,31,5,7
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",5070,564,146,62,0,17,0,17,12,18,12,19,135,116,12,18,135,117,98,82,103,78,246,132,301,130,213,129,180,123,146,96,1271,305,195,106,205,107,575,188,428,206,458,192,188,114,0,17,11,18
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",2849,362,186,122,0,12,12,26,82,98,84,70,25,38,0,12,42,31,96,65,31,36,191,91,135,63,202,126,103,68,155,90,680,208,169,121,64,55,351,162,107,70,115,65,1,2,13,21,5,10
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",2820,289,48,57,0,17,0,17,0,17,54,53,20,29,137,100,44,56,266,136,126,70,117,78,282,169,146,96,101,67,65,43,678,194,170,84,103,59,231,111,91,68,94,79,28,36,19,29,0,17
