,BoroCT2010,CT2010,NTACode,tract_fips_10
0,5000900,900,SI22,36085000900.0
1,5012500,12500,SI22,36085012500.0
2,5013301,13301,SI22,36085013301.0
3,5019700,19700,SI07,36085019700.0
4,5002002,2002,SI14,36085002002.0
5,5006400,6400,SI14,36085006400.0
6,5007400,7400,SI14,36085007400.0
7,1002202,2202,MN28,36061002202.0
8,1003200,3200,MN22,36061003200.0
9,1006800,6800,MN21,36061006800.0
10,1008900,8900,MN13,36061008900.0
11,1009600,9600,MN17,36061009600.0
12,1009800,9800,MN19,36061009800.0
13,1010000,10000,MN19,36061010000.0
14,1010200,10200,MN17,36061010200.0
15,1010400,10400,MN17,36061010400.0
16,1011201,11201,MN17,36061011201.0
17,1011202,11202,MN17,36061011202.0
18,1011203,11203,MN19,36061011203.0
19,1011300,11300,MN17,36061011300.0
20,1011402,11402,MN40,36061011402.0
21,1013000,13000,MN40,36061013000.0
22,1014000,14000,MN40,36061014000.0
23,1014601,14601,MN32,36061014601.0
24,1014602,14602,MN32,36061014602.0
25,1014801,14801,MN40,36061014801.0
26,1014802,14802,MN40,36061014802.0
27,1015300,15300,MN14,36061015300.0
28,1015400,15400,MN32,36061015400.0
29,1015601,15601,MN32,36061015601.0
30,1015602,15602,MN33,36061015602.0
31,1016001,16001,MN40,36061016001.0
32,1018400,18400,MN34,36061018400.0
33,1019000,19000,MN11,36061019000.0
34,1020101,20101,MN09,36061020101.0
35,1020102,20102,MN11,36061020102.0
36,1020600,20600,MN03,36061020600.0
37,1021800,21800,MN11,36061021800.0
38,1022000,22000,MN11,36061022000.0
39,1022900,22900,MN04,36061022900.0
40,1023400,23400,MN03,36061023400.0
41,1023900,23900,MN36,36061023900.0
42,1024900,24900,MN36,36061024900.0
43,1025300,25300,MN36,36061025300.0
44,1025700,25700,MN11,36061025700.0
45,1026100,26100,MN36,36061026100.0
46,1026300,26300,MN36,36061026300.0
47,1026700,26700,MN35,36061026700.0
48,1026900,26900,MN35,36061026900.0
49,1027700,27700,MN35,36061027700.0
50,3000501,501,BK09,36047000501.0
51,3002000,2000,BK32,36047002000.0
52,3004100,4100,BK38,36047004100.0
53,3005201,5201,BK31,36047005201.0
54,3005202,5202,BK31,36047005202.0
55,3005800,5800,BK31,36047005800.0
56,3006000,6000,BK31,36047006000.0
57,3006500,6500,BK33,36047006500.0
58,3006700,6700,BK33,36047006700.0
59,3006900,6900,BK38,36047006900.0
60,3007400,7400,BK32,36047007400.0
61,3007600,7600,BK32,36047007600.0
62,3007800,7800,BK32,36047007800.0
63,3008000,8000,BK32,36047008000.0
64,3009800,9800,BK34,36047009800.0
65,3010100,10100,BK32,36047010100.0
66,3010200,10200,BK34,36047010200.0
67,3010400,10400,BK34,36047010400.0
68,3010800,10800,BK34,36047010800.0
69,3011000,11000,BK34,36047011000.0
70,3011400,11400,BK88,36047011400.0
71,3011800,11800,BK34,36047011800.0
72,3012100,12100,BK37,36047012100.0
73,3012801,12801,BK30,36047012801.0
74,3013000,13000,BK31,36047013000.0
75,3013200,13200,BK30,36047013200.0
76,3013300,13300,BK37,36047013300.0
77,3013600,13600,BK31,36047013600.0
78,3013700,13700,BK37,36047013700.0
79,3013900,13900,BK37,36047013900.0
80,3015100,15100,BK37,36047015100.0
81,3015300,15300,BK37,36047015300.0
82,3015500,15500,BK37,36047015500.0
83,3015700,15700,BK37,36047015700.0
84,3016500,16500,BK37,36047016500.0
85,3017000,17000,BK27,36047017000.0
86,3017200,17200,BK27,36047017200.0
87,3017800,17800,BK27,36047017800.0
88,3018200,18200,BK28,36047018200.0
89,3018400,18400,BK28,36047018400.0
90,3018600,18600,BK28,36047018600.0
91,3018800,18800,BK28,36047018800.0
92,3019000,19000,BK28,36047019000.0
93,3019200,19200,BK88,36047019200.0
94,3019400,19400,BK30,36047019400.0
95,3019500,19500,BK69,36047019500.0
96,3019600,19600,BK30,36047019600.0
97,3019700,19700,BK69,36047019700.0
98,3019800,19800,BK30,36047019800.0
99,3020400,20400,BK30,36047020400.0
100,3020800,20800,BK30,36047020800.0
101,3021000,21000,BK30,36047021000.0
102,3021200,21200,BK30,36047021200.0
103,3021400,21400,BK88,36047021400.0
104,3021900,21900,BK61,36047021900.0
105,3022000,22000,BK88,36047022000.0
106,3022100,22100,BK61,36047022100.0
107,3022200,22200,BK88,36047022200.0
108,3022700,22700,BK69,36047022700.0
109,3022900,22900,BK69,36047022900.0
110,3023100,23100,BK69,36047023100.0
111,3023500,23500,BK69,36047023500.0
112,3023600,23600,BK88,36047023600.0
113,3023800,23800,BK88,36047023800.0
114,3024000,24000,BK88,36047024000.0
115,3024200,24200,BK88,36047024200.0
116,3024500,24500,BK75,36047024500.0
117,3024600,24600,BK88,36047024600.0
118,3024700,24700,BK61,36047024700.0
119,3024800,24800,BK28,36047024800.0
120,3024900,24900,BK75,36047024900.0
121,3025000,25000,BK28,36047025000.0
122,3025200,25200,BK28,36047025200.0
123,3025400,25400,BK28,36047025400.0
124,3025600,25600,BK28,36047025600.0
125,3025800,25800,BK28,36047025800.0
126,3026000,26000,BK28,36047026000.0
127,3026200,26200,BK28,36047026200.0
128,3026300,26300,BK75,36047026300.0
129,3026400,26400,BK28,36047026400.0
130,3026600,26600,BK28,36047026600.0
131,3026700,26700,BK75,36047026700.0
