,GEOID,tot_pop,male,female,age_ud4,age_ud9,age_ud14,age_ud19,age_ud24,age_ud29,age_ud34,age_ud39,age_ud44,age_ud49,age_ud54,age_ud59,age_ud64,age_ud69,age_ud74,age_ud79,age_ud84,age_ov85,rmale,rfemale,rage_ud4,rage_ud9,rage_ud14,rage_ud19,rage_ud24,rage_ud29,rage_ud34,rage_ud39,rage_ud44,rage_ud49,rage_ud54,rage_ud59,rage_ud64,rage_ud69,rage_ud74,rage_ud79,rage_ud84,rage_ov85,NTACode
0,36005000100,9191.0,8376.0,815.0,0.0,0.0,0.0,1249.976,2003.638,1470.56,1001.819,854.763,1056.965,744.471,441.168,211.393,110.292,18.382,18.382,9.191,0.0,0.0,0.911326297465,0.0886737025351,0.0,0.0,0.0,0.136,0.218,0.16,0.109,0.093,0.115,0.081,0.048,0.023,0.012,0.002,0.002,0.001,0.0,0.0,BX98
1,36005000200,4858.0,2276.0,2582.0,281.764,461.51,228.326,340.06,476.084,340.06,369.208,233.184,383.782,320.628,257.474,306.054,218.61,213.752,121.45,106.876,106.876,92.302,0.468505557843,0.531494442157,0.058,0.095,0.047,0.07,0.098,0.07,0.076,0.048,0.079,0.066,0.053,0.063,0.045,0.044,0.025,0.022,0.022,0.019,BX09
2,36005000400,5344.0,2672.0,2672.0,379.424,352.704,347.36,293.92,379.424,491.648,406.144,325.984,395.456,390.112,443.552,438.208,267.2,90.848,101.536,133.6,37.408,74.816,0.5,0.5,0.071,0.066,0.065,0.055,0.071,0.092,0.076,0.061,0.074,0.073,0.083,0.082,0.05,0.017,0.019,0.025,0.007,0.014,BX09
3,36005001600,5215.0,2441.0,2774.0,479.78,276.395,370.265,333.76,370.265,307.685,198.17,370.265,333.76,276.395,401.555,255.535,349.405,234.675,255.535,140.805,140.805,125.16,0.468072866731,0.531927133269,0.092,0.053,0.071,0.064,0.071,0.059,0.038,0.071,0.064,0.053,0.077,0.049,0.067,0.045,0.049,0.027,0.027,0.024,BX09
4,36005001900,2562.0,1278.0,1284.0,228.018,174.216,163.968,171.654,263.886,225.456,230.58,345.87,140.91,99.918,245.952,58.926,53.802,40.992,89.67,15.372,0.0,7.686,0.498829039813,0.501170960187,0.089,0.068,0.064,0.067,0.103,0.088,0.09,0.135,0.055,0.039,0.096,0.023,0.021,0.016,0.035,0.006,0.0,0.003,BX39
5,36005002000,8456.0,3333.0,5123.0,414.344,481.992,1014.72,837.144,634.2,312.872,431.256,575.008,507.36,710.304,414.344,710.304,473.536,380.52,169.12,152.208,118.384,118.384,0.394157994324,0.605842005676,0.049,0.057,0.12,0.099,0.075,0.037,0.051,0.068,0.06,0.084,0.049,0.084,0.056,0.045,0.02,0.018,0.014,0.014,BX09
6,36005002300,4672.0,1816.0,2856.0,322.368,270.976,448.512,429.824,350.4,247.616,289.664,210.24,322.368,471.872,289.664,154.176,196.224,135.488,238.272,102.784,144.832,46.72,0.388698630137,0.611301369863,0.069,0.058,0.096,0.092,0.075,0.053,0.062,0.045,0.069,0.101,0.062,0.033,0.042,0.029,0.051,0.022,0.031,0.01,BX39
7,36005002500,5108.0,2342.0,2766.0,429.072,566.988,485.26,444.396,357.56,480.152,321.804,582.312,265.616,183.888,270.724,178.78,199.212,25.54,137.916,25.54,97.052,45.972,0.458496476116,0.541503523884,0.084,0.111,0.095,0.087,0.07,0.094,0.063,0.114,0.052,0.036,0.053,0.035,0.039,0.005,0.027,0.005,0.019,0.009,BX39
8,36005002701,3172.0,1542.0,1630.0,282.308,320.372,215.696,301.34,253.76,91.988,250.588,288.652,260.104,161.772,139.568,164.944,158.6,114.192,95.16,53.924,0.0,19.032,0.486128625473,0.513871374527,0.089,0.101,0.068,0.095,0.08,0.029,0.079,0.091,0.082,0.051,0.044,0.052,0.05,0.036,0.03,0.017,0.0,0.006,BX39
9,36005002702,4723.0,2449.0,2274.0,472.3,453.408,373.117,510.084,481.746,344.779,354.225,250.319,302.272,462.854,179.474,160.582,33.061,85.014,80.291,75.568,75.568,28.338,0.518526360364,0.481473639636,0.1,0.096,0.079,0.108,0.102,0.073,0.075,0.053,0.064,0.098,0.038,0.034,0.007,0.018,0.017,0.016,0.016,0.006,BX39
