,GEOID,GEO.display-label,tot_educ,educ_0,educ_1,educ_2,educ_3,educ_4,educ_5,educ_6,educ_7,educ_8,educ_9,educ_10,educ_11,educ_12,educ_13,educ_13.5,educ_14,educ_14.5,educ_15,educ_16,educ_18,educ_20,educ_23,reduc_0,reduc_1,reduc_2,reduc_3,reduc_4,reduc_5,reduc_6,reduc_7,reduc_8,reduc_9,reduc_10,reduc_11,reduc_12,reduc_13,reduc_13.5,reduc_14,reduc_14.5,reduc_15,reduc_16,reduc_18,reduc_20,reduc_23,NTACode
0,36005000100,"Census Tract 1, Bronx County, New York",5939,103,0,0,21,0,21,23,42,148,83,194,467,637,1154,1028,1185,66,531,106,87,35,8,0.0173429870349,0.0,0.0,0.00353594881293,0.0,0.00353594881293,0.00387270584273,0.00707189762586,0.0249200202054,0.0139754167368,0.0326654318909,0.078632766459,0.107257113992,0.194308806196,0.173093113319,0.199528540158,0.0111129819835,0.0894089914127,0.0178481225796,0.0146489307964,0.00589324802155,0.00134702811921,BX98
1,36005000200,"Census Tract 2, Bronx County, New York",3076,30,0,0,0,0,28,0,76,62,22,49,53,142,62,155,960,54,578,289,405,111,0,0.00975292587776,0.0,0.0,0.0,0.0,0.00910273081925,0.0,0.0247074122237,0.020156046814,0.00715214564369,0.0159297789337,0.0172301690507,0.0461638491547,0.020156046814,0.0503901170351,0.312093628088,0.01755526658,0.187906371912,0.0939531859558,0.13166449935,0.0360858257477,0.0,BX09
2,36005000400,"Census Tract 4, Bronx County, New York",3587,31,0,0,11,0,41,0,0,15,8,38,75,180,112,89,918,68,706,434,599,262,0,0.00864231948704,0.0,0.0,0.0030666294954,0.0,0.0114301644829,0.0,0.0,0.00418176749373,0.00223027599665,0.0105938109841,0.0209088374686,0.0501812099247,0.0312238639532,0.0248118204628,0.255924170616,0.0189573459716,0.196821856705,0.120992472819,0.16699191525,0.0730415388904,0.0,BX09
3,36005001600,"Census Tract 16, Bronx County, New York",3385,127,0,0,0,15,9,50,112,63,49,114,184,139,119,83,967,129,665,156,283,121,0,0.0375184638109,0.0,0.0,0.0,0.00443131462334,0.002658788774,0.0147710487445,0.0330871491876,0.018611521418,0.0144756277696,0.0336779911374,0.0543574593796,0.0410635155096,0.0351550960118,0.0245199409158,0.285672082718,0.0381093057607,0.196454948301,0.0460856720827,0.0836041358936,0.0357459379616,0.0,BX09
4,36005001900,"Census Tract 19, Bronx County, New York",1559,20,0,0,0,0,0,17,5,101,12,32,104,28,99,41,414,46,302,61,179,93,5,0.0128287363695,0.0,0.0,0.0,0.0,0.0,0.010904425914,0.00320718409237,0.0647851186658,0.00769724182168,0.0205259781911,0.0667094291212,0.0179602309173,0.0635022450289,0.0262989095574,0.265554842848,0.0295060936498,0.193713919179,0.0391276459269,0.114817190507,0.059653624118,0.00320718409237,BX39
5,36005002000,"Census Tract 20, Bronx County, New York",5070,146,0,0,12,12,135,12,135,98,103,246,301,213,180,146,1466,205,575,428,458,188,11,0.0287968441815,0.0,0.0,0.00236686390533,0.00236686390533,0.0266272189349,0.00236686390533,0.0266272189349,0.0193293885602,0.020315581854,0.0485207100592,0.0593688362919,0.0420118343195,0.0355029585799,0.0287968441815,0.289151873767,0.0404339250493,0.113412228797,0.0844181459566,0.0903353057199,0.0370808678501,0.00216962524655,BX09
6,36005002300,"Census Tract 23, Bronx County, New York",2849,186,0,12,82,84,25,0,42,96,31,191,135,202,103,155,849,64,351,107,115,14,5,0.0652860652861,0.0,0.004212004212,0.028782028782,0.029484029484,0.00877500877501,0.0,0.014742014742,0.033696033696,0.010881010881,0.0670410670411,0.047385047385,0.0709020709021,0.036153036153,0.0544050544051,0.297999297999,0.022464022464,0.123201123201,0.037557037557,0.040365040365,0.004914004914,0.001755001755,BX39
7,36005002400,"Census Tract 24, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,BX99
8,36005002500,"Census Tract 25, Bronx County, New York",2820,48,0,0,0,54,20,137,44,266,126,117,282,146,101,65,848,103,231,91,94,47,0,0.0170212765957,0.0,0.0,0.0,0.0191489361702,0.00709219858156,0.0485815602837,0.0156028368794,0.0943262411348,0.0446808510638,0.0414893617021,0.1,0.0517730496454,0.0358156028369,0.0230496453901,0.300709219858,0.036524822695,0.081914893617,0.0322695035461,0.0333333333333,0.0166666666667,0.0,BX39
9,36005002701,"Census Tract 27.01, Bronx County, New York",1801,45,0,0,0,29,27,9,51,78,38,11,139,140,186,48,604,37,123,26,153,34,23,0.0249861188229,0.0,0.0,0.0,0.0161021654636,0.0149916712937,0.00499722376458,0.0283176013326,0.0433092726263,0.0210993892282,0.00610771793448,0.0771793448084,0.0777345918934,0.103275957801,0.0266518600777,0.335369239311,0.0205441421433,0.0682953914492,0.0144364242088,0.0849528039978,0.0188784008884,0.0127706829539,BX39
