,GEOID,GEO.display-label,hh_tot,inc10,inc15,inc20,inc25,inc30,inc35,inc40,inc45,inc50,inc60,inc75,inc100,inc125,inc150,inc200,inc200+,rinc10,rinc15,rinc20,rinc25,rinc30,rinc35,rinc40,rinc45,rinc50,rinc60,rinc75,rinc100,rinc125,rinc150,rinc200,rinc200+,NTACode
0,36005000200,"Census Tract 2, Bronx County, New York",1347.0,153.0,25.0,50.0,82.0,89.0,41.0,14.0,10.0,31.0,62.0,160.0,247.0,209.0,102.0,44.0,28.0,0.113585746102,0.018559762435,0.0371195248701,0.0608760207869,0.0660727542687,0.0304380103935,0.0103934669636,0.00742390497402,0.0230141054195,0.0460282108389,0.118782479584,0.183370452858,0.155159613957,0.075723830735,0.0326651818857,0.0207869339272,BX09
1,36005000400,"Census Tract 4, Bronx County, New York",1753.0,82.0,52.0,64.0,82.0,13.0,78.0,66.0,112.0,10.0,149.0,185.0,289.0,232.0,139.0,168.0,32.0,0.0467769537935,0.0296634341129,0.0365088419852,0.0467769537935,0.00741585852824,0.0444951511694,0.0376497432972,0.063890473474,0.00570450656018,0.0849971477467,0.105533371363,0.164860239589,0.132344552196,0.0792926411865,0.0958357102111,0.0182544209926,BX09
2,36005001600,"Census Tract 16, Bronx County, New York",1945.0,216.0,277.0,144.0,157.0,154.0,150.0,96.0,193.0,48.0,124.0,96.0,141.0,70.0,26.0,9.0,44.0,0.111053984576,0.142416452442,0.0740359897172,0.0807197943445,0.079177377892,0.0771208226221,0.0493573264781,0.0992287917738,0.0246786632391,0.0637532133676,0.0493573264781,0.0724935732648,0.0359897172237,0.0133676092545,0.00462724935733,0.0226221079692,BX09
3,36005001900,"Census Tract 19, Bronx County, New York",831.0,180.0,35.0,29.0,29.0,102.0,66.0,66.0,36.0,37.0,92.0,37.0,48.0,28.0,0.0,46.0,0.0,0.216606498195,0.0421179302046,0.0348977135981,0.0348977135981,0.12274368231,0.0794223826715,0.0794223826715,0.043321299639,0.0445246690734,0.110709987966,0.0445246690734,0.057761732852,0.0336943441637,0.0,0.0553549939832,0.0,BX39
4,36005002000,"Census Tract 20, Bronx County, New York",2980.0,778.0,360.0,402.0,203.0,117.0,238.0,158.0,61.0,54.0,132.0,81.0,208.0,131.0,0.0,33.0,24.0,0.261073825503,0.120805369128,0.134899328859,0.0681208053691,0.0392617449664,0.0798657718121,0.0530201342282,0.0204697986577,0.0181208053691,0.0442953020134,0.0271812080537,0.0697986577181,0.0439597315436,0.0,0.0110738255034,0.00805369127517,BX09
5,36005002300,"Census Tract 23, Bronx County, New York",1835.0,609.0,377.0,186.0,216.0,84.0,41.0,15.0,19.0,72.0,49.0,27.0,111.0,21.0,8.0,0.0,0.0,0.331880108992,0.205449591281,0.10136239782,0.117711171662,0.0457765667575,0.0223433242507,0.00817438692098,0.0103542234332,0.0392370572207,0.0267029972752,0.0147138964578,0.0604904632153,0.0114441416894,0.00435967302452,0.0,0.0,BX39
6,36005002500,"Census Tract 25, Bronx County, New York",1814.0,527.0,401.0,102.0,221.0,60.0,77.0,63.0,0.0,55.0,114.0,93.0,78.0,13.0,0.0,0.0,10.0,0.290518191841,0.221058434399,0.0562293274531,0.121830209482,0.0330760749724,0.042447629548,0.0347298787211,0.0,0.0303197353914,0.0628445424476,0.0512679162073,0.0429988974642,0.00716648291069,0.0,0.0,0.00551267916207,BX39
7,36005002701,"Census Tract 27.01, Bronx County, New York",1059.0,242.0,155.0,47.0,68.0,114.0,58.0,19.0,71.0,66.0,25.0,69.0,69.0,3.0,8.0,45.0,0.0,0.228517469311,0.146364494806,0.0443814919736,0.0642115203022,0.107648725212,0.0547686496695,0.0179414542021,0.067044381492,0.0623229461756,0.0236071765817,0.0651558073654,0.0651558073654,0.0028328611898,0.00755429650614,0.042492917847,0.0,BX39
8,36005002702,"Census Tract 27.02, Bronx County, New York",1380.0,388.0,152.0,179.0,74.0,123.0,139.0,144.0,15.0,12.0,62.0,33.0,40.0,19.0,0.0,0.0,0.0,0.28115942029,0.110144927536,0.129710144928,0.0536231884058,0.0891304347826,0.100724637681,0.104347826087,0.0108695652174,0.00869565217391,0.0449275362319,0.0239130434783,0.0289855072464,0.013768115942,0.0,0.0,0.0,BX39
9,36005002800,"Census Tract 28, Bronx County, New York",2340.0,104.0,124.0,187.0,160.0,86.0,146.0,187.0,121.0,113.0,218.0,214.0,323.0,205.0,91.0,27.0,34.0,0.0444444444444,0.0529914529915,0.0799145299145,0.0683760683761,0.0367521367521,0.0623931623932,0.0799145299145,0.0517094017094,0.0482905982906,0.0931623931624,0.091452991453,0.138034188034,0.0876068376068,0.0388888888889,0.0115384615385,0.0145299145299,BX09
